직업,성향
국회의원(정치인),"전략,인적관리,협상,의사결정,합리,통솔,결단"
외교관,"협상,설등,대응,협동,친화,순석,의지"
노무사,"협상,해결,설득,문장,일관,분석,해석,문장"
변호사,"사고,문장,독해,추론,일관,분석,꼼꼼,신중,목표"
변리사,"문장,사고,독해,청취,분석,일관,독립,신중,목표"
법무사,"독해,문장,청취,비용,산출,신중,꼼꼼,일관,결단,목표"
"세무사, 회계사","수리,독해,컴퓨터,전략,관리,신중,일관,분석,통솔,도덕"
관세사,"암기,관리,독해,수리,통솔,친화,일관,도덕,통제"
공무원,"대응,컴퓨터,독해,문장,도덕,친화,의지,협동"
사이버 수사요원,"컴퓨터,추론,설득,기술,분석,의지,결단,협동,적응"
농업기술자,"문장,설계,개발,공간지각,분석,추론,독립,협동,혁신,목표"
조사전문가,"문장,분류,사고,수리,꼼꼼,신중,분석,의지,극복,결단"
항공 승무원,"관리,친화,극복,의지,배려,통제"
항공기 조종사,"공간지각,순발,통제,꼼꼼,신중,의지,협동,결단"
원예사(조경),"체력,유연,감각,공간지각,혁신,목표,독립,도덕,통솔"
건축가,"공간지각,설계,개발,관리,혁신,분석,결단,목표,꼼꼼,신중"
도시계획가,"문장,해결,공간지각,분석,도덕,일관,통솔,극복"
토목공학기술자,"설계,개발,관리,조직,분석,기술,결단,통솔,협동,독립,혁신"
직업군인,"조직,관리,전략,공간지각,통솔,일관,통제"
소방관,"공간지각,체력,순발,유연,균형,감각,협동,배려,통솔,도덕"
경찰관,"추론,순발,공간지각,도덕,통솔,통제,분석"
사회복지사,"해결,관리,적응,협동,도덕,배려,친화"
사회봉사단체,"문장,독해,설득,친화,배려,독해,설득"
성직자,"화술,교육,독해,극복,도덕,통제,배려"
영양사,"관리,통솔,친화,독립,신중,적응"
